study_id,device_id,first_author,year,journal,doi,pmid,study_design,setting,n_patients,n_measurements,reference_standard,bias_bpm,loa_lower_bpm,loa_upper_bpm,rmse_bpm,sensitivity,specificity,threshold_within_pct,threshold_definition,population,notes
ACC01,DEV07,Toften,2024,Frontiers in Physiology,10.3389/fphys.2024.1502413,39665054,Observational confirmatory,Emergency ward (St. Olavs Hospital; Norway),32,1112,Nox T3s (respiratory inductance plethysmography),0.1,-1.09,1.19,NA,NA,NA,NA,"Stationary: bias 0.1, LoA -1.09 to +1.19; Mobile: bias 0.0, LoA -1.07 to +1.07",Adults resting in bed,MDR Class IIb validation; stationary values shown; mobile LoA -1.07 to +1.07
ACC03,DEV_CNRRS,Bergese,2017,Anesthesia & Analgesia,10.1213/ANE.0000000000001852,28099286,Prospective multicenter observational,Clinical lab + general ward (2 hospitals),79,23243,Clinician-overscored sidestream capnography,0.18,-3.06,3.42,1.35,NA,NA,NA,"Overall: bias 0.18, LoA -3.06 to +3.42; Hospitalized only (n=53): bias 0.07, LoA -3.84 to +3.97",Mixed (26 healthy + 53 hospitalized),Validated Medtronic Nellcor CNRRS (pulse-ox derived RR); NOT impedance/capnography device itself
ACC04,DEV05,Ben-Ari (via NICE MIB49),2016,NICE Medtech Innovation Briefing,NA,NA,Technology assessment (multiple studies),Mixed (sleep lab; ICU; ward),Varies,Varies,Standard monitoring systems,NA,NA,NA,NA,NA,NA,NA,Accuracy rates: pediatric sleep lab 91.8%; adult sleep lab 93.1%; ICU adult 82% vs ETCO2; 75% vs manual count,Mixed,NICE MIB49 summary; accuracy defined as aRE within thresholds; no Bland-Altman data available
ACC05,DEV06,FDA 510(k) K212143,2022,FDA submission,NA,NA,Clinical validation (regulatory),Healthcare facility,~170,NA,Reference vital signs monitor,NA,NA,NA,NA,NA,NA,~93%,Within 10% or 2 bpm of reference (FDA data); Neteera website claims 95%,Adults,FDA clearance data; discrepancy between FDA submission (~93%) and marketing material (95%)
ACC07,DEV08,Subbe,2018,Sensors,10.3390/s18082700,NA,Prospective observational,Acute Medical Unit (UK),24,NA,Capnography,0.38,NA,NA,NA,NA,NA,NA,At rest: LoA 1.0 to 1.8 bpm vs capnography,Emergency admissions,Small sample; limited to resting conditions; LoA interpretation unclear in source
ACC08,DEV08,NICE MIB299,2022,NICE Medtech Innovation Briefing,NA,NA,Technology assessment,Mixed,Varies,Varies,ECG and nurse manual count,-0.41,-3.9,3.1,NA,NA,NA,NA,"vs ECG: bias -0.41 LoA [-3.9,3.1]; vs nurse: bias -0.58 LoA [-5.5,4.3]; 20% intervals >3 bpm vs nurse",Adults,NICE concluded evidence base is limited; single-center studies
ACC10,DEV_IPG,van Loon,2018,Canadian Journal of Anesthesia,10.1007/s12630-018-1214-z,NA,Prospective observational,PACU (awake postoperative),20,1101,Sidestream capnography,-1.9,-13.1,9.2,NA,NA,NA,NA,IPG (impedance) vs capnography; NOTE: 98.9% LoA (not 95%); 95% LoA would be narrower,Post-surgical adults,98.9% LoA using ±2.63×SD with repeated-measures correction; none of 3 devices met predefined ±2 bpm criterion
ACC11,NA,Lee,2024,J Am Coll Emerg Physicians Open,NA,NA,Prospective observational,Emergency department,351,NA,Capnography,0.2,-6.2,6.6,NA,NA,NA,NA,"Telemetry (impedance) vs capnography: bias 0.2, LoA -6.2 to +6.6; Manual vs capnography: bias -0.6, LoA -13.5 to +12.3",ED adults,PMC11077426; demonstrates wide LoA for both impedance and manual vs capnography in ED
